&;e t
abborrön;a1 bb o r r &:2 n
abborstammen;a1 bb o r s t a2 mm e n
abborvägen;a1 bb o r v e:2 g e n
abbottabad;a1 b o t a b a d
åbbs;o1 b s
abc;a: b e: s e:1
abcstationen;a: b e: s e:1 s t a tj U:2 n e n
abdel;a1 b d e l
abderrahman;a1 b d e r r a2 h m a n
abdiasis;a b d i a:1 s i s
abdirahim;a b d i1 r a h i m
abdo;a1 b d o
abdoulie;a b d U:1 l i
abdrabuh;a1 b d r a b u:
abdul;a1 b d u l
abdulahi;a b d U l a:1 h i
abdulajeva;a b d u l a j e:1 v a
abdulkarim;a1 b d u l k a r i2 mm
abdullajev;a b d u l a:1 j e v
abdulwahab;a1 b d u l v a h a:2 b
abdulwahabs;a1 b d u l v a h a:2 b s
abe;a:1 b e
abeba;a b e:1 b a
abednego;a b e1 d n e g o
abenomics;a b e n o1 m i k s
abera;a b e:1 r a
aberg;a:1 b {2 r i
abessinska;a b e s i:1 n s k a
abf;a: b e: e1 ff
abgb;a: b e: g e: b e:1
abi;a1 b i
abidine;a b i d i:1 n
abidjan;a b i d j a1 nn
abidjans;a b i d j a1 n s
abigails;{1 b i g e2 j l s
abilita;a b i1 l i t a
abloynycklar;a b l o1 j n y2 k l a r
åbne;o:1 b n e
abo;a:1 b U
åbo;o:1 b U
aboa;a b U:1 a
aboarbis;a:1 b U a2 r b i s
åbobarn;o:1 b U b a:2 rn
åbobaserade;o:1 b U b a s e:2 r a d e
åbobördiga;o:1 b U b 9:2 rd i g a
åbobördige;o:1 b U b 9:2 rd i g e
åbobornas;o:1 b U b U:2 rn a s
åbobussen;o:1 b U b u2 ss e n
åbodådet;o:1 b U d o:2 d e t
åbodagen;o:1 b U d a:2 g e n
aboensis;a b U e1 n s i s
aboensiska;a b U e1 n s i s k a
åboföretag;o:1 b U f 9:2 r e t a: g
åboföretaget;o:1 b o f 9:2 r e t a: g e t
åboförfattaren;o:1 b U f 9 f a2 tt a r e n
åbofullmäktige;o:1 b U f u2 ll m e k t i g e
åbogenerationers;o:1 b U j e n e r a tj U:2 n { r s
åbograbb;o:1 b U g r a2 bb
åbogrynder;o:1 b U g r y2 n d { r
åbohallen;o:1 b U h a2 ll e n
åbohorisont;o:1 b U h o r i s o2 n t
åbohus;o:1 b U h u:2 s
åbohusv;o:1 b U h u:2 s v
åbohusvägen;o:1 b U h u:2 s v e gg e n
åbokamraterna;o:1 b U k a m r a:2 t { rn a
åbokamraternas;o:1 b U k a m r a:2 t { rn a s
åboklubben;o:1 b U k l u2 bb e n
åbokvinnor;o:1 b U k v i2 nn o r
åbolag;o:1 b U l a:2 g
åboland;o:1 b U l a n d
åboländsk;o:1 b U l e2 n s k
åboländska;o:1 b U l e2 n s k a
åbolandskampen;o:1 b U l a n d s k a2 m p e n
åboländskt;o:1 b U l e2 n s k t
åbolänningar;o:1 b U l e2 nn i N a r
åbolänningarna;o:1 b U l e2 nn i N a rn a
åbolänningen;o:1 b U l e2 nn i N e n
abolucia;a:1 b U l u s i:2 a
åbolucia;o:1 b U l u s i:2 a
åbonde;o:1 b U2 n d e
åbonejden;o:1 b U n e2 j d e n
åbonejdens;o:1 b U n e2 j d e n s
åbopolisen;o:1 b U p U l i:2 s e n
åbopolisens;o:1 b U p U l i:2 s e n s
åbopolitikern;o:1 b U p U l i:2 t i k { rn
åboprofessorn;o:1 b U p r o f e2 ss o rn
åbopubliken;o:1 b U p u b l i:2 k e n
åboregionens;o:1 b U r e g i U:2 n e n s
aboriginernas;a b o r i g i:1 n { rn a s
abortdebatt;a b o1 r t d e b a2 tt
abortfrågor;a b o1 r t f r o:2 g o r
abortivägg;a b o r t i:1 v e2 gg
abortklinik;a b o1 r t k l i n i:2 k
abortkritiskt;a b o1 r t k r i:2 t i s t
abortlagar;a b o1 r t l a:2 g a r
abortmotstånd;a b o1 r t m U:2 t s t o n d
abortmotståndarnas;a b o1 r t m U:2 t s t o n d a rn a s
abortmotståndet;a b o1 r t m U:2 t s t o n d e t
aborttvist;a b o1 r t t v i2 s t
abortus;a b o1 r t u s
abortuttalanden;a b o1 r t u:2 t t a: l a n d e t
åborutten;o:1 b U r u2 tt e n
åbosamfundet;o:1 b U s a m f u2 n d e t s
åbosamfundets;o:1 b U s a m f u2 n d e t s
åbosjukhuset;o:1 b U S u:2 k h u: s e t
åboskolorna;o:1 b U s k U:2 l o rn a
åboslott;o:1 b U s l o2 tt
åbospelare;o:1 b U s p e:2 l a r e
åboteaterns;o:1 b U t e a:2 t { rn s
abounderrattelser;a:1 b U u2 n d { r r a tt e l s { r
abov;a:1 b U v
åbov;o:1 b U v
åbovägen;o:1 b U v e:2 g e n
åbovarv;o:1 b U v a2 r v
åbovarvet;o:1 b U v a2 r v e t
åbovarvets;o:1 b U v a2 r v e t s
abovoice;a1 b U v o2 j s
abraham;a:1 b r a h a m
abrahamn;a:1 b r a h a2 m n
abrahams;a:1 b r a h a m s
åbrandt;o:1 b r a2 n t
åbranten;o:1 b r a2 n t e n
åbron;o:1 b r U:2 n
åbrovägen;o:1 b r U: v e:2 g e n
absalom;a b s a l o1 mm
absaloms;a b s a l o1 mm s
abscessus;a b s e1 ss u s
absentia;a b s e1 n t i a
absintresterna;a b s i1 n t r e2 s t { rn a
åbsk;o1 b s k
absolutism;a p s o l u t i1 s m
absolutismen;a p s o l u t i1 s m e n
absolutismens;a p s o l u t i1 s m e n s
absolutister;a p s o l u t i1 s t { r
absolutistisk;a p s o l u t i1 s t i s k
absolutistiska;a p s o l u t i1 s t i s k a
absolutistiskt;a p s o l u t i1 s t i s t
absoluuttinen;a1 p s o l U: tt i n e n
absorberande;a b s o r b e:1 r a n d e
absorbering;a b s o r b e:1 r i N
absorptionsfusion;a b s o r p tj U:1 n s f u S U:2 n
abstinensen;a b s t i n e1 n s e n
abstinenssymtom;a b s t i n e1 n s s y m t o:2 m
abstracto;a b s t r a1 k t o
abstraktare;a b s t r a1 k t a r e
abstraktionsförmåga;a b s t r a k tj U:1 n s f 9 m o:2 g a
abstraktionsnivå;a b s t r a k tj U:1 n s n i v o:2
abu;a1 b u
abubakar;a b u b a k a:1 r
abukar;a b u:1 k a r
abuukar;a b u:1 k a r
abyan;a b y a1 n
åbytravet;o:1 b y: t r a:2 v e t
ac;a:1 s e:2
åca;o: s e: a:1
academic;{ k { d e1 m i k
academical;a k a d e1 m i k a l
academill;a k a d e m i1 ll
acapella;a k a p e1 ll a
acapellacovers;a k a p e1 ll a k o2 v { r s
acapellas;a k a p e1 ll a s
acapellasång;a k a p e1 ll a s o2 NN
accapellagruppen;a k a p e1 ll a g r u2 pp e n
accelerationer;a k s e l e r a tj U:1 n { r
accelerator;a k s e l e r a:1 t o r
accelerering;a k s e l e r e:1 r i N
accellererade;a k s e l e r e:1 r a d e
accentfärgen;a k s e1 n t f {2 r j e n
accentfärger;a k s e1 n t f {2 r j { r
accentuerad;a k s e n t u e:1 r a d
acceptansen;a k s e p t a1 n s e n
accessoar;a k s e s U a:1 r
accessorisk;a k s e s o:1 r i s k
acci;a1 kk i
accisen;a k s i:1 s e n
acciser;a k s i:1 s { r
acciserna;a k s i:1 s { rn a
accord;a k o:1 rd
accordeon;a k o rd e:1 o n
according;{ k o:1 rd i N
accordion;{ k o:1 rd i o n
accra;a1 k r a
aceh;a1 tj e
aceldama;a k e l d a:1 m a
acerbi;a s e1 r b i
acetazolamid;a s e t a s o l a m i:1 d
åcf;o: s e: ? e1 ff
ach;a: s e: h o:1
achievement;{ tj i:1 v m e2 n t
achille;a k i1 ll e
achilles;a k i1 ll e s
achren;a k r e:1 n
achté;a k t e:1
acid;a1 s i d
acitretin;a s i t r e t i:1 n
åck;o1 kk
ackebo;a1 kk e b U:2
äckelgulligt;e1 kk e l g u2 ll i t
äckelkänslor;e1 kk e l tj e2 n s l o r
äckelorange;e1 kk e l o r a2 n S
ackerman;a1 kk { r m a n
ackernecht;a1 kk { rn e2 h t
äcklat;e1 k l a t
äckligare;e1 k l i g a r e
äckligast;e1 k l i g a s t
äckligaste;e1 k l i g a s t e
äckligheter;e1 k l i h e:2 t { r
acklimatiseringsfas;a k l i m a t i s e:1 r i N s f a:2 s
ackommodationsförmåga;a k o m o d a tj U:1 n s f 9 m o:2 g a
ackompanjatörer;a k o m p a n j a t 9:1 r { r
ackompanjerats;a k o m p a n j e:1 r a t s
ackordeon;a k o:1 rd e o n
ackordstaplar;a k o:1 rd s t a:2 p l a r
ackrén;a k r e:1 n
ackté;a k t e:1
ackumulatorerna;a k u m u l a t U:1 r { rn a
ackumulatortank;a k u m u l a:1 t o r t a2 N k
ackumulatortankar;a k u m u l a:1 t o r t a2 N k a r
ackumulatortanken;a k u m u l a:1 t o r t a2 N k e n
ackun;a1 kk U n
ackusatoriska;a k u s a t U:1 r i s k a
acoustic;a k u1 s t i k
acre;a1 k r e
across;{ k r o1 ss
acryl;a k r y:1 l
acs;a: s e: e1 ss
åcs;o: s e: e1 ss
acstyle;a:1 s e: s t a2 j l
acta;a1 k t a
actes;a1 k t e s
actimel;a1 k t i m e l
acting;{1 k t i N
actio;a1 k t i o
actionäventyr;{1 k tj & n e:2 v e n t y: r
actionäventyrskategorin;{1 k tj 9 n e: v e n t y: r s k a t e g o r i:2 n
actiondrama;{1 k tj 9 n d r a:2 m a
actiondramatikens;{1 k tj o n d r a m a t i:2 k e n s
actionevenemang;{1 k tj o n e v e n e m a2 NN
actionfilmerna;{1 k tj 9 n f i2 l m { rn a
actionfylld;{1 k tj 9 n f y2 l d
actionhantverk;{1 k tj o n h a2 n t v { r k
actionhjältar;{1 k tj 9 n j e2 l t a r
actionpackad;{1 k tj & n p a2 kk a d
actionromaner;{1 k tj o n r U m a:2 n { r
actions;{1 k tj 9 n s
actionsatiren;{1 k tj & n s a t i:2 r e n
actionscen;{1 k tj & n s e:2 n
actionscener;{1 k tj & n s e:2 n { r
actionskräckfilmen;{1 k tj 9 n s k r e2 kk f i l m e n
actionskröna;{1 k tj & n s k r &:2 n a
actionstuket;{1 k tj o n s t u:2 k e t
actionthriller;{1 k tj 9 n t r i2 ll { r
actionthrillern;{1 k tj 9 n t r i2 ll { rn
actionverk;{1 k tj 9 n v {2 r k
activity;{ k t i1 v i t y
actors;{1 k t o r s
acuminatum;a k u m i n a:1 t u m
åda;o:1 d a
ådaäggskal;o:1 d a e gg s k a:2 l
ådal;o:1 d a:2 l
ådalens;o:1 d a:2 l e n s
adalmiina;a1 d a l m i: n a
adalmina;a d a l m i:1 n a
adalminan;a1 d a l m i n a n
ådalsslätten;o:1 d a: l s s l e2 tt e n
adamhemmet;a:1 d a m h e2 mm e t
adapalen;a d a p a l e:1 n
adaptera;a d a p t e:1 r a
adaptiva;a d a p t i:1 v a
adaptivt;a d a p t i:1 v t
adawiya;a d a v i:1 j a
adbåge;a:1 d b o:2 g e
add;a1 dd
adderade;a d e:1 r a d e
addiktioner;a d i k tj U:1 n { r
addis;a1 dd i s
addition;a d i tj U:1 n
addounia;a d 91 U n i a
addtech;{1 dd t e2 kk
adebayor;a d e b a1 jj o r
adeel;a d i:1 l
adekvagh;a d e k v a1 g
adela;a d e:1 l a
adelaide;a d e l a1 j d e
adelboden;a:1 d e l b U:2 d e n
ädelbragd;e:1 d e l b r a2 g d
adelcrantzgränd;a:1 d e l k r a n t s g r e2 n d
ädelfiskarna;e:1 d e l f i2 s k a rn a
ädelfiskens;e:1 d e l f i2 s k e n s
ädelgas;e:1 d e l g a:2 s
ädelgasbranschen;e:1 d e l g a: s b r a2 n S e n
ädelgasbranschens;e:1 d e l g a: s b r a2 n S e n s
ädelgasframställningens;e:1 d e l g a: s f r a2 mm s t e l n i N e n s
ädelgran;e:1 d e l g r a:2 n
adelina;a d e l i:1 n a
adeline;a d e l i:1 n
ädelmetallbranschens;e:1 d e l m e t a ll b r a2 n S e n s
ädelmetallen;e:1 d e l m e t a2 ll e n
ädelröta;e:1 d e l r &:2 t a
ädelroth;e:1 d e l r U:2 t
adelsdamen;a:1 d e l s d a:2 m e n
adelsköld;a:1 d e l S &2 l d
adelsmarskalken;a:1 d e l s m a r S a2 l k e n
adelsmöten;a:1 d e l s m &:2 t e n
adelsohn;a:1 d e l s o n
adelsprivilegierna;a:1 d e l s p r i v i l e:2 g i { rn a
adelsstyrda;a:1 d e l s s t y:2 rd a
adelsynglingar;a:1 d e l s y2 N l i N a r
ademar;a d e m a1 rr
adena;a d e:1 n a
adenbukten;a:1 d e n b u2 k t e n
adenovirus;a d e:1 n o v i:2 r u s
adenviken;a:1 d e n v i:2 k e n
adepten;a d e1 p t e n
adepterna;a d e1 p t { rn a
adepts;a d e1 p t s
åderlåter;o:1 d { r l o:2 t { r
åderläts;o:1 d { r l e:2 t s
åderlåts;o:1 d { r l o:2 t s
adertonåring;a:1 d { r t o n o:2 r i N
adertonde;a:1 d { r t o n d e
adertondeplats;a:1 d { r t o n d e p l a2 t s
adertonhundratalets;a:1 d { r t o n h u n d r a t a:2 l e t s
adertonhundratals;a:1 d { r t o n h u n d r a t a:2 l s
adforskaren;a1 dd f o2 r s k a r e n
adherens;a d h e r e1 n s
adhrian;a:1 d r i a n
ådi;o:1 d i
adielsson;a:1 d i e l s o n
adina;a d i:1 n a
adine;a d i:1 n
adios;a d i o:1 s
adis;a:1 d i s
adisa;a d i:1 s a
adjektiven;a1 d j e k t i: v e n
adjektivt;a1 d j e k t i v t
adjetey;a d j e:1 t i
adjöt;a d j &:1 t
adjustment;a dZ a1 s t m e n t
adjuvans;a d j u v a1 n s
adjuvantens;a d j u v a1 n t e n s
adla;a:1 d l a
adlercreutzgatan;a:1 d l { r k r &2 j t s g a:2 t a n
adli;a1 d l i
adlivankin;a d l i v a1 N k i n
adlon;{1 d l o n
admares;a d m a:1 r e s
administrationsbyggnad;a d m i n i s t r a tj U:1 n s b y2 g n a d
administrationsgrenar;a d m i n i s t r a tj U:1 n s g r e:2 n a r
administrationshusen;a d m i n i s t r a tj U:1 n s h u:2 s e n
administrationsstäder;a d m i n i s t r a tj U:1 n s s t e:2 d { r
administratörslunch;a d m i n i s t r a t 9:1 r s l u2 n S
administrerades;a d m i n i s t r e:1 r a d e s
administrerat;a d m i n i s t r e:1 r a t
admir;a1 d m i r
admira;a d m i:1 r a
admiral;a d m i r a:1 l
admirals;a d m i r a:1 l s
adna;a1 d n a
ådö;o:1 d &:2
ådöfjärden;o:1 d &: f j {:2 rd e n
ådöfjärdens;o:1 d &: f j {:2 rd e n s
adolescence;a d o l e1 s e n s
adolescent;a d o l e1 s e n t
adolf;a:1 d o l f
adolfina;a d o l f i:1 n a
adolfsdagen;a:1 d o l f s d a:2 g e n
adolfsgatan;a:1 d o l f s g a:2 t a n
ådömda;o:1 d &2 m d a
ådömt;o:1 d &2 m t
adonis;a d o:1 n i s
adopt;a d o1 p t
adoptionscenter;a d o p tj U:1 n s s e2 n t { r
adoptionskö;a d o p tj U:1 n s k &:2
adoptionsnämnden;a d o p tj U:1 n s n e2 m d e n
adoptionsplaner;a d o p tj U:1 n s p l a:2 n { r
adoptionsrätt;a d o p tj U:1 n s r e2 tt
adoptionsrätten;a d o p tj U:1 n s r e2 tt e n
adoptionssökanden;a d o p tj U:1 n s s &:2 k a n d e n
adoptionstjänst;a d o p tj U:1 n s tj e2 n s t
adoptiv;a d o p t i:1 v
adoptivpudel;a d o p t i:1 v p u:2 d e l
ådorna;o:1 d o rn a
adorno;a d o1 rn o
ådövägen;o:1 d &: v e:2 g e n
adr;a: d e: {1 rr
adrenalinfylld;a d r e n a l i:1 n f y2 l d
adrenalininhalation;a d r e n a l i:1 n i n h a l a tj U:2 n
adrenalinkick;a d r e n a l i:1 n k i2 kk
adrenalinkickar;a d r e n a l i:1 n k i2 kk a r
adrenalinkicken;a d r e n a l i:1 n k i2 kk e n
adrenalinpennan;a d r e n a l i:1 n p e2 nn a n
adrenalinpennor;a d r e n a l i:1 n p e2 nn o r
adrenalinsprutan;a d r e n a l i:1 n s p r u:2 t a n
adressändringar;a d r e1 ss e2 n d r i N a r
adresseavisen;a d r e1 ss e a v i:2 s e n
adresserar;a d r e s e:1 r a r
adresseras;a d r e s e:1 r a s
adressfältet;a d r e1 ss f e2 l t e t
adressit;a1 d r e ss i t
adresskort;a d r e1 ss k U:2 r t
adressuppgifter;a d r e1 ss u2 pp j i f t { r
adressuppgifterna;a d r e1 ss u2 pp j i f t { rn a
adressystem;a d r e1 ss s y s t e:2 m
adrianas;a d r i a:1 n a s
adriano;a d r i a:1 n o
adrians;a:1 d r i a n s
adriel;a d r i e1 ll
adrien;a:1 d r i e n
adrienne;a d r i e1 nn
adrift;{ d r i1 f t
adu;a d u:1
adult;{ d o:1 l t
adventförsamling;a d v e1 n t f 9 s a2 m l i N
adventljuset;a d v e1 n t j u:2 s e t
adventljusstake;a d v e1 n t j u: s s t a:2 k e
advents;a d v e1 n t s
adventsång;a d v e1 n t s o2 NN
adventsånger;a d v e1 n t s o2 NN { r
adventsfest;a d v e1 n t s f e2 s t
adventsfesten;a d v e1 n t s f e2 s t e n
adventsfriden;a d v e1 n t s f r i:2 d e n
adventsgudstjänst;a d v e1 n t s g u2 d s tj e n s t
adventskaffe;a d v e1 n t s k a2 ff e
adventsklappar;a d v e1 n t s k l a2 pp a r
adventskonsert;a d v e1 n t s k o n s {:2 r
adventskonserten;a d v e1 n t s k o n s {:2 r e n
adventskonserter;a d v e1 n t s k o n s {:2 r { r
adventskonserterna;a d v e1 n t s k o n s {:2 r { rn a
adventskonserternas;a d v e1 n t s k o n s {:2 r { rn a s
adventskrans;a d v e1 n t s k r a2 n s
adventskyrka;a d v e1 n t s tj y2 r k a
adventsmarknad;a d v e1 n t s m a2 r k n a d
adventsmusik;a d v e1 n t s m u s i:2 k
adventstid;a d v e1 n t s t i:2 d
adventstiden;a d v e1 n t s t i:2 d e n
adventstidens;a d v e1 n t s t i:2 d e n s
adventure;{ d v e1 n tj 9: r
adventures;a d v e1 n tj 9: r s
advocaten;a d v o k a:1 t e n
advokatbyråerna;a d v o k a:1 t b y r o:2 { rn a
advokatbyråns;a d v o k a:1 t b y r o:2 n s
advokatkåren;a d v o k a:1 t k o:2 r e n
advokatteam;a d v o k a:1 t t i:2 m
advokatutredning;a d v o k a:1 t u:2 t r e: d n i N
ae;a:1 ? e:2
aea;a: e: ? a:1
åea;o: e: a:1
ædnan;{1 d n a n
ael;a: e: ? e1 ll
aero;e:1 r o
aerobiska;e r o:1 b i s k a
aerodance;e:1 r o d a2 n s
aeroflot;e:1 r o f l o2 t
aeros;e:1 r o s
aerosol;e:1 r o s o l
aerosolburkar;e:1 r o s U: l b u2 r k a r
aerosoler;e:1 r o s o l { r
aerosolerna;e:1 r o s o l { rn a
aerosolers;e:1 r o s o2 ll { r s
aerosolpartiklar;e:1 r o s U: l p a r t i2 k l a r
aerosolpartiklarna;e:1 r o s o l p a r t i2 k l a rn a
aerox;a1 j r o k s
aesthetics;e s t e1 t i k s
aeterna;a e:1 t { rn a
aethyr;i a:1 T 9 r
åf;o:1 e2 ff
afc;a: e ff s e:1
åfeldt;o:1 f e2 l t
åff;o1 ff
affair;{ f e:1 r
affärsangelägenhet;a f {:1 r s a2 n j e l e: g e n h e: t
affärsbyggnaden;a f {:1 r s b y2 g n a d e n
affärsbyggnader;a f {:1 r s b y2 g n a d { r
affärscentret;a f {:1 r s s e2 n t r e t
affärsfastighet;a f {:1 r s f a2 s t i h e: t
affärsfastigheten;a f {:1 r s f a2 s t i h e: t e n
affärsfastigheter;a f {:1 r s f a2 s t i h e: t { r
affärsfolkets;a f {:1 r s f o2 l k e t s
affärsgallerian;a f {:1 r s g a l e r i:2 a n
affärshemlighet;a f {:1 r s h e2 m l i h e: t
affärshus;a f {:1 r s h u:2 s
affärshuset;a f {:1 r s h u:2 s e t
affärside;a f {:1 r s i d e:2
affärsidéer;a f {:1 r s i d e:2 { r
affärsidkarnas;a f {:1 r s i2 d k a rn a s
affärsimperium;a f {:1 r s i m p e:2 r i u m
affärsinbrott;a f {:1 r s i2 nn b r o tt
affärsinrättning;a f {:1 r s i nn r e2 t n i N
affärsjuridik;a f {:1 r s j u r i d i:2 k
affärsjuristernas;a f {:1 r s j u r i2 s t { rn a s
affärskassa;a f {:1 r s k a2 ss a
affärskedjan;a f {:1 r s tj e:2 d j a n
affärskedjans;a f {:1 r s tj e:2 d j a n s
affärskedjorna;a f {:1 r s tj e2 d j o rn a
affärskedjornas;a f {:1 r s tj e2 d j o rn a s
affärsklimat;a f {:1 r s k l i m a:2 t
affärskompanjoner;a f {:1 r s k o m p a n j U:2 n { r
affärskoncentrationer;a f {:1 r s k o n s e n t r a tj U:2 n { r
affärskoncept;a f {:1 r s k o n s e2 p t
affärskonceptet;a f {:1 r s k o n s e2 p t e t
affärskontakt;a f {:1 r s k o n t a2 k t
affärskulturen;a f {:1 r s k u l t u:2 r e n
affärskvarter;a f {:1 r s k v a r t e:2 r
affärskvarteret;a f {:1 r s k v a r t e:2 r e t
affärslokalen;a f {:1 r s l U k a:2 l e n
affärslokalerna;a f {:1 r s l U k a:2 l { rn a
affärsluncher;a f {:1 r s l u2 n S { r
affärsmagasin;a f {:1 r s m a g a s i:2 n
affärsmagasinet;a f {:1 r s m a g a s i:2 n e t
affärsmannakretsar;a f {:1 r s m a nn a k r e2 t s a r
affärsmöjlighet;a f {:1 r s m &2 j l i h e: t
affärsnätverket;a f {:1 r s n e:2 t v { r k e t
affärsområdeschef;a f {:1 r s o m r o: d e s S e:2 f
affärsplanen;a f {:1 r s p l a:2 n e n
affärsplatschef;a f {:1 r s p l a t s S e:2 f
affärsresandeföreningen;a f {:1 r s r e: s a n d e f 9 r e:2 n i N e n
affärstomt;a f {:1 r s t o2 m t
affärstomter;a f {:1 r s t o2 m t { r
affärsutrymmena;a f {:1 r s u:2 t r y mm e n a
affärsverkets;a f {:1 r s v {2 r k e t s
affärsverksamhetschef;a f {:1 r s v { r k s a m h e: t s S e:2 f
affärsverksamhetssegmenten;a f {:1 r s v { r k s a m h e: t s s e g m e2 n t e n
affärverkens;a f {:1 r v {2 r k e n s
affe;a1 ff e
affekter;a f e1 k t { r
affektionsvärdet;a f e k tj U:1 n s v {:2 rd e t
affektiv;a f e k t i:1 v
affektivt;a f e k t i:1 v t
affischflicka;a f i1 SS f l i2 kk a
affischgubbe;a f i1 SS g u2 bb e
afflecks;{1 f l e k s
afg;a: e ff g e:1
afganistan;a f g a n i s t a:1 n
afghanernas;a f g a:1 n { rn a s
afghanflickornas;a f g a:1 n f l i2 kk o rn a s
afghanistanfrågan;a f g a n i s t a:1 n f r o:2 g a n
afghanistankonflikten;a f g a n i s t a:1 N k o n f l i2 k t e n
afghanistankrig;a f g a n i s t a:1 N k r i:2 g
afghanskt;a f g a:1 n s k t
aflickornas;a:1 f l i2 kk o rn a s
aflotoxin;a f l o t o k s i:1 n
afp;a: ? e ff p e:1
afrikaanalytikern;a f r i k a:1 n a n a l y:2 t i k { rn
afrikaanse;a f r i k a:1 n s e
afrikaarmén;a:1 f r i k a a r m e:2 n
afrikainstitutet;a:1 f r i k a i n s t i t u:2 t e t
afrikalinjen;a:1 f r i k a l i2 n j e n
afrikaresa;a:1 f r i k a r e:2 s a
afro;a1 f r o
afroamerikan;a1 f r o a m e r i k a:2 n
afroamerikaner;a1 f r o a m e r i k a:2 n { r
afrobeat;a1 f r o b i:2 t
afron;a1 f r o n
afs;a: e ff e1 ss
åfs;o: ? e ff e1 ss
afsikten;a:1 f s i k t e n
aftenblad;a1 f t e n b l a:2 d
after;a: f t { r
afternoon;a:1 f t { rn u:2 n
aftersail;a:1 f t { r s e2 j l
afterski;a:1 f t { r s k i:2
aftonandakt;a1 f t o n a2 n d a k t
aftonandakter;a1 f t o n a2 n d a k t { r
aftonbelysningen;a1 f t o n b e l y:2 s n i N e n
aftonbladet;a1 f t o n b l a:2 d e t
aftonbladets;a1 f t o n b l a:2 d e t s
aftonbönstavlor;a1 f t o n b &: n s t a:2 v l o r
aftonklockan;a1 f t o N k l o2 kk a n
aftonläroverk;a1 f t o n l {:2 r U v { r k
aftonpsalm;a1 f t o n s a2 l m
aftonpsalmen;a1 f t o n s a2 l m e n
aftonskola;a1 f t o n s k U:2 l a
aftonsolens;a1 f t o n s U:2 l e n s
afzelius;a f s e:1 l i u s
åg;o:1 g
agadez;a g a d e:1 s
agadir;a g a d i:1 r
again;a g e2 j n
ägandens;e:1 g a n d e n s
äganderättens;e:1 g a n d e r e2 tt e n s
äganderättsförvärv;e:1 g a n d e r e t s f 9 v {2 r v
äganderättsfrågor;e:1 g a n d e r e t s f r o:2 g o r
äganderättsuppfattning;e:1 g a n d e r e t s u2 pp f a t n i N
agapetus;a g a p e:1 t u s
ägar;e:1 g a r
ägaravtal;e:1 g a r a:2 v t a: l
ägarbas;e:1 g a r b a:2 s
ägarbasen;e:1 g a r b a:2 s e n
